447 132 29
474 86 429
540 222 289
566 27 427
608 136 475
642 516 520
682 321 618
691 636 46
725 89 119
738 289 337
783 185 36
799 450 178
803 384 329
864 755 169
915 348 399
927 846 691
947 777 51
990 922 849
1006 279 382
1039 928 222
1069 423 758
1079 1051 807
1084 162 171
1182 907 573
1182 907 708
361 72 138 218
423 169 372 98
438 338 233 228
439 306 149 255
499 236 387 153
566 27 522 130
603 64 432 148
607 4 473 16
607 4 27 112
609 178 385 328
681 299 248 500
689 167 306 149
720 445 326 148
725 270 127 611
746 180 680 580
766 637 365 373
769 7 223 334
769 23 331 749
783 368 185 36
848 776 502 327
861 315 835 379
883 479 477 193
894 300 171 667
905 411 532 366
908 142 482 807
908 872 156 807
908 872 282 807
920 265 878 684
922 238 735 783
974 769 7 806
974 730 858 163
981 352 403 317
986 108 321 206
987 546 620 491
993 643 372 98
995 959 235 911
1022 1020 952 567
1033 545 5 660
1035 51 224 487
1041 905 411 532
1044 178 849 30
1055 1012 34 1030
1057 902 110 304
1066 603 64 540
1069 795 915 731
1079 570 1076 259
1083 973 631 637
1084 894 300 171
1098 715 827 824
1100 179 614 777
1104 240 105 682
1131 457 65 379
1132 262 471 959
1133 477 633 282
1136 663 919 755
1146 441 692 1081
1152 30 745 125
1153 878 433 867
1153 878 790 440
1154 497 192 1124
1154 563 259 896
1158 399 915 105
1158 997 874 105
1159 237 115 418
1166 5 390 416
1170 1108 627 794
1174 1029 71 843
1175 402 1007 167
1179 333 817 193
1179 371 1167 295
1182 802 979 573
